title,description,date
SMITH “EXCITED ABOUT HAVING NO DIVISIONS”,Gene Smith is happy the Big Ten is going divisionless and “OK with” not playing Penn State every year because he felt that was more of a “competitive rivalry” than a...,2023-06-08
"OSU AT UCLA IN 2024, HOSTS USC IN 2025",Ohio State will play UCLA on the road in 2024 and is set to host USC in 2025 as the Big Ten announces conference matchups for those years and a new divisionless model.,2023-06-08
MICHIGAN WILL BE ONLY ANNUAL OPPONENT,Ohio State will play Michigan every year while it will play every other team in the Big Ten at least twice every four years when the conference goes divisionless in 2024.,2023-06-08
JAYDEN BONSU,"Jayden Bonsu has experience at all three safety positions and the speed, anticipation and size to eventually thrive in Jim Knowles' three-safety defense at Ohio State.",2023-06-08
B1G TO UNVEIL NEW SCHEDULE MODEL THURSDAY,The Big Ten will release its new football scheduling model and who every team will play during the 2024 and 2025 seasons at 4:30 p.m. Thursday on Big Ten Network.,2023-06-07
OSU STICKING WITH TURF IN THE SHOE,"Gene Smith says Ohio State has no plans to switch back to grass inside Ohio Stadium, in part because turf makes the Shoe “more usable” for events other than football games.",2023-06-07
TWO FOR FLINCHING,"Last season Ohio State football forfeited its identity, and all it took was one lousy week off.",2023-06-07
GENE DOESN’T EXPECT PEACOCK GAME THIS YEAR,"Gene Smith doesn’t anticipate Ohio State will play a Peacock-only football game this year, though he says some men’s basketball games could be exclusive to the platform.",2023-06-07
NO MORE LATE-NOVEMBER NIGHT GAMES,Gene Smith says Ohio State will not play night games at home past the first weekend of November after this season's Nov. 11 matchup with Michigan State under the lights.,2023-06-07
"PHILBIN TO MAKE $266,667 IN 2023","Joe Philbin will be paid $266,667 in 2023 in his new role as a senior advisor/analyst for Ohio State.",2023-06-06
VIMAHI MAKING CASE ON OFFENSIVE LINE,"Donovan Jackson and Matt Jones are still in line to be the starting guards, but Enokk Vimahi made his case this spring for being one of Ohio State’s top five offensive linemen.",2023-06-06
"MALONE WILL BE ""DIFFERENT ATHLETE"" AT OSU","No longer splitting his focus between football and baseball, Larry Johnson thinks Tywone Malone can be ""a different athlete"" at Ohio State than he was at Ole Miss.",2023-06-06
USFL OFFENSIVE PLAYER OF THE WEEK,"Johnnie Dixon is the USFL’s offensive player of the week following his 136-yard, two-touchdown performance in the New Orleans Breakers’ win over the Michigan Panthers.",2023-06-05
KICKER COMPETITION “IN A GOOD PLACE”,"Parker Fleming is looking for consistency in Ohio State’s kicking competition between Jayden Fielding and Parker Lewis, who he said both had “great springs.”",2023-06-05
"KNOWLES SEES “OPPORTUNITY TO BE THE BEST""","Still “haunted” by the end of Ohio State’s 2022 season, Jim Knowles thinks the Buckeyes have an “opportunity to be the best” defense in college football in 2023.",2023-06-05
STOP THE SKID,Two-game losing streaks to Michigan are a rare occurrence over the last 30 years. Here's how previous Buckeye teams fared in stopping the losing streaks.,2023-06-04
"LAURINAITIS, CHAMBERS PICK OSU’S BEST LBS",Ohio State graduate assistant James Laurinaitis and linebacker Steele Chambers discuss their Mount Rushmore for Buckeye linebackers and more in “Tradition Talk.”,2023-06-03
“THE ADDITION OF JOE HAS BEEN PHENOMENAL”,Brian Hartline expects to learn more from Joe Philbin now than he did when Philbin was his NFL head coach and says “everyone in the building can learn something from him.”,2023-06-03
"C.J. IS “ALREADY WAY, WAY AHEAD OF PACE”",The Houston Texans coaching staff is heaping plenty of praise on No. 2 overall draft pick C.J. Stroud during his second week of OTAs.,2023-06-02
DAY SAYS NIL BRINGS CHALLENGES IN PORTAL,"Appearing as a guest on Chris Holtmann's podcast Wednesday, Ryan Day said “NIL combined with the transfer portal” is the most difficult part of his job at Ohio State.",2023-06-02
"FRYE HIGH ON SIMMONS’ TOOLS, EXPERIENCE",Justin Frye offered Josh Simmons as UCLA’s offensive coordinator and believes Simmons’ physical tools and starting experience can make Ohio State’s offensive line better.,2023-06-02
QB BATTLE COULD GO INTO SEASON,Kirk Herbstreit says he “wouldn’t be shocked” if the quarterback competition between Kyle McCord and Devin Brown continues into Ohio State’s first two or three games.,2023-06-01
DAY ADMITS HE MADE MISTAKES VS. MICHIGAN,"Ryan Day learned a lesson from Ohio State's second consecutive loss to Michigan: ""You can’t just win the game. You have to win each play. You have to win each situation.""",2023-06-01
DAY CONTINUES TO MOLD OSU POST-URBAN,"Ryan Day has continued to mold Ohio State ""more to my managerial style"" while still maintaining successful infrastructure from Urban Meyer's tenure with the Buckeyes.",2023-06-01
OHIO STATE’S FIRST-EVER OUT-OF-STATE GAMES,"Ohio State faced hostility in Lexington when it played its first-ever out-of-state football games in 1895, still the only time the Buckeyes have ever played in the state of...",2023-06-01
STYLES TO COMPETE AT HIGH SAFETY POSITIONS,"Jim Knowles says Sonny Styles has proven he's ""ready to play"" as a sophomore, and Knowles has devised a ""dual plan"" in which Styles could take on multiple roles in 2023.",2023-06-01
KAYDEN MCDONALD,Kayden McDonald has college-ready size and a track record of production that gives him the potential to be a difference-making nose tackle at Ohio State.,2023-06-01
STARTING QUARTERBACK COMPETITION ONGOING,"Ohio State isn’t ready to name a starting QB yet, but Corey Dennis and Brian Hartline are confident either Kyle McCord or Devin Brown can uphold the Buckeyes’ standard.",2023-06-01
THREE AFTERNOON GAMES TO OPEN SEASON,"Ohio State will begin the season with a 3:30 p.m. game vs. Indiana on CBS, a noon game against Youngstown State on BTN and a 4 p.m. game vs. Western Kentucky on FOX.",2023-05-31
AFTERLIFE,This era of one-dimensional Buckeye football should end in 2023.,2023-05-31
WHAT WE HEARD FROM ASSISTANT COACHES,"We discuss what stood out to us during Tuesday’s interviews with Ohio State’s assistant coaches, including praise for C.J. Hicks and Sonny Styles and offensive line discussion.",2023-05-31
MICKENS IS MARION COUNTY ATHLETE OF YEAR,Incoming Ohio State freshman defensive lineman Joshua Mickens earns one of the top awards for Indianapolis-area high school athletes.,2023-05-31
HENRY’S RETURN “WAY DOWN THE ROAD”,Justin Frye said he has not yet discussed a return to football with Avery Henry following his cancer battle but that keeping him involved with the team is a “top priority.”,2023-05-31
"KNOWLES SAYS HICKS WILL ""UNLEASH"" IN 2023","Jim Knowles says C.J. Hicks is ""just on the cusp of breaking out"" and will look to find a role for him in 2023, whether it's at Will linebacker or at the hybrid Jack position.",2023-05-31
UPDATES FROM OSU’S DEFENSIVE COACHES,"Tim Walton said he's been impressed with Lorenzo Styles Jr. so far, Larry Johnson hopes Tywone Malone can bring depth for OSU and Jim Knowles praised C.J. Hicks.",2023-05-30
UPDATES FROM OSU’S OFFENSIVE COACHES,"Brian Hartline isn’t taking his responsibility as OC lightly, Corey Dennis says the QB competition remains open and Justin Frye is looking for “the five best” up front.",2023-05-30
