attendance,away_conference,away_division,away_id,away_line_scores,away_points,away_post_win_prob,away_postgame_elo,away_pregame_elo,away_team,completed,conference_game,excitement_index,highlights,home_conference,home_division,home_id,home_line_scores,home_points,home_post_win_prob,home_postgame_elo,home_pregame_elo,home_team,id,neutral_site,notes,season,season_type,start_date,start_time_tbd,venue,venue_id,week
,Atlantic Sun,FCS,2046,"[10, 7, 3, 7]",27.0,0.0457235733773735,,,Austin Peay,True,False,2.6135509766,,Conference USA,FBS,98,"[7, 14, 0, 17]",38.0,0.9542764266226264,1684.0,1684.0,Western Kentucky,401426532,False,,2022,regular,2022-08-27T16:00:00.000Z,False,Houchens Industries-L. T. Smith Stadium,3796.0,1
,Big Ten,FBS,158,"[7, 7, 14, 0]",28.0,0.4524565402648056,1616.0,1636.0,Nebraska,True,True,8.3493556676,,Big Ten,FBS,77,"[3, 14, 7, 7]",31.0,0.5475434597351944,1381.0,1361.0,Northwestern,401405059,True,,2022,regular,2022-08-27T16:30:00.000Z,False,Aviva Stadium,3504.0,1
,SIAC,II,2206,"[0, 0, 21, 13]",34.0,,,,Edward Waters,True,False,,,,,125762,"[13, 13, 6, 7]",39.0,,,,Florida Memorial University,401439512,True,,2022,regular,2022-08-27T19:00:00.000Z,False,,,1
,Western Athletic,FCS,2617,"[7, 10, 0, 0]",17.0,0.0011829169683287,,,Stephen F. Austin,True,False,5.2414690984,,Atlantic Sun,FCS,55,"[7, 14, 21, 0]",42.0,0.9988170830316712,,,Jacksonville State,401413213,True,FCS Kickoff,2022,regular,2022-08-27T19:30:00.000Z,False,Cramton Bowl,3689.0,1
,Big Sky,FCS,304,"[7, 0, 7, 7]",21.0,,,,Idaho State,True,False,,,Mountain West,FBS,2439,"[10, 35, 0, 7]",52.0,,1300.0,1300.0,UNLV,401413256,False,,2022,regular,2022-08-27T19:30:00.000Z,False,Allegiant Stadium,6501.0,1
,FBS Independents,FBS,41,"[14, 0, 0, 6]",20.0,0.0108344142920279,1128.0,1117.0,Connecticut,True,False,4.5637067523,,Mountain West,FBS,328,"[0, 24, 0, 7]",31.0,0.989165585707972,1555.0,1566.0,Utah State,401404146,False,,2022,regular,2022-08-27T20:00:00.000Z,False,Romney Stadium,3905.0,1
,Mountain West,FBS,2751,"[3, 0, 3, 0]",6.0,0.0025277087946428,1409.0,1497.0,Wyoming,True,False,2.571416914,,Big Ten,FBS,356,"[7, 10, 7, 14]",38.0,0.9974722912053572,1584.0,1496.0,Illinois,401405058,False,,2022,regular,2022-08-27T20:00:00.000Z,False,Memorial Stadium,3832.0,1
,NEC,FCS,2184,"[0, 0, 7, 0]",7.0,0.0010577920305462,,,Duquesne,True,False,1.058953588,,ACC,FBS,52,"[20, 6, 14, 7]",47.0,0.9989422079694538,1501.0,1501.0,Florida State,401411090,False,,2022,regular,2022-08-27T21:00:00.000Z,False,Bobby Bowden Field at Doak Campbell Stadium,3697.0,1
,Pioneer,FCS,2413,"[0, 10, 3, 0]",13.0,0.001031807409982,,,Morehead State,True,False,1.1544784977,,Southern,FCS,2382,"[14, 28, 14, 7]",63.0,0.998968192590018,,,Mercer,401422922,False,,2022,regular,2022-08-27T23:00:00.000Z,False,Five Star Stadium at the Moye Complex,4417.0,1
,Conference USA,FBS,2429,"[7, 0, 6, 0]",13.0,0.0011584457822981,1211.0,1272.0,Charlotte,True,True,6.6262524505,,Conference USA,FBS,2226,"[10, 16, 7, 10]",43.0,0.9988415542177018,1488.0,1427.0,Florida Atlantic,401426530,False,,2022,regular,2022-08-27T23:00:00.000Z,False,FAU Stadium,3715.0,1
,MEAC,FCS,47,"[3, 3, 0, 7]",13.0,0.0293731469963026,,,Howard,True,False,5.8728268228,,SWAC,FCS,2011,"[6, 7, 7, 3]",23.0,0.9706268530036972,,,Alabama State,401423448,True,Cricket MEAC/SWAC Challenge Kickoff,2022,regular,2022-08-27T23:00:00.000Z,False,Georgia State Stadium,4246.0,1
,SWAC,FCS,50,"[7, 7, 10, 0]",24.0,0.0362992192626788,,,Florida A&M,True,False,1.2411118443,,ACC,FBS,153,"[14, 14, 7, 21]",56.0,0.9637007807373212,1555.0,1555.0,North Carolina,401411091,False,,2022,regular,2022-08-28T00:15:00.000Z,False,Kenan Memorial Stadium,3787.0,1
,Conference USA,FBS,249,"[0, 14, 14, 3]",31.0,0.9952536646437844,1463.0,1426.0,North Texas,True,True,4.1152955946,,Conference USA,FBS,2638,"[0, 13, 0, 0]",13.0,0.0047463353562156,1323.0,1360.0,UTEP,401426531,False,,2022,regular,2022-08-28T01:00:00.000Z,False,Sun Bowl Stadium,3946.0,1
,Mountain West,FBS,2440,"[0, 17, 0, 6]",23.0,0.865630293812243,1556.0,1564.0,Nevada,True,False,3.8315877915,,FBS Independents,FBS,166,"[0, 2, 7, 3]",12.0,0.134369706187757,1192.0,1184.0,New Mexico State,401409235,False,,2022,regular,2022-08-28T02:00:00.000Z,False,Aggie Memorial Stadium,3601.0,1
,SEC,FBS,238,"[14, 7, 35, 7]",63.0,0.9996410399011048,1431.0,1222.0,Vanderbilt,True,False,2.4199370723,,Mountain West,FBS,62,"[7, 3, 0, 0]",10.0,0.0003589600988952,1223.0,1432.0,Hawai'i,401403853,False,,2022,regular,2022-08-28T02:30:00.000Z,False,Clarence T.C. Ching Athletics Complex,7220.0,1
,Lone Star,II,2201,"[3, 7, 17, 7]",34.0,,,,Eastern New Mexico,True,False,,,Rocky Mountain,II,2424,"[0, 3, 7, 8]",18.0,,,,New Mexico Highlands,401437007,False,,2022,regular,2022-09-01T18:00:00.000Z,False,Sanchez Family Stadium,6059.0,1
,Pennsylvania State Athletic,II,2974,"[14, 13, 21, 0]",48.0,,,,Shepherd,True,False,,,Northeast 10,II,2583,"[0, 0, 7, 0]",7.0,,,,Southern Connecticut State,401433043,False,,2022,regular,2022-09-01T21:30:00.000Z,False,Jess Dow Field,6071.0,1
,CIAA,II,2304,"[7, 13, 7, 0, 7]",34.0,,,,Johnson C Smith,True,False,,,Independent DII,II,124180,"[7, 3, 10, 7, 8]",35.0,,,,Bluefield,401430716,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Mitchell Stadium,6221.0,1
,Patriot,FCS,2230,"[7, 7, 20, 14]",48.0,0.9784514479409526,,,Fordham,True,False,9.5471969422,,NEC,FCS,2681,"[7, 14, 7, 3]",31.0,0.0215485520590473,,,Wagner,401428480,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Wagner College Stadium,3979.0,1
,CIAA,II,395,"[0, 6, 0, 7]",13.0,,,,St. Augustine's,True,False,,,South Atlantic,II,2839,"[14, 21, 21, 14]",70.0,,,,Tusculum,401430722,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Pioneer Field (TN),6078.0,1
,Atlantic Sun,FCS,2453,"[0, 7, 0, 7, 0]",14.0,0.2482422685584563,,,North Alabama,True,False,13.4274129564,,MVFC,FCS,282,"[3, 3, 0, 8, 3]",17.0,0.7517577314415437,,,Indiana State,401418776,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Memorial Stadium,3829.0,1
,South Atlantic,II,122666,"[7, 3, 0, 7]",17.0,,,,Barton College,True,False,,,CIAA,II,2804,"[0, 0, 3, 0]",3.0,,,,Chowan,401431978,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Garrison Stadium,5220.0,1
,Mountain East,II,455,"[0, 0, 0, 0]",0.0,,,,WV Wesleyan,True,False,,,GLIAC,II,129,"[20, 17, 7, 28]",72.0,,,,Saginaw Valley,401431561,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Harvey Randall Wickes Memorial Stadium,3885.0,1
,Mountain East,II,587,"[0, 0, 7, 7]",14.0,,,,Notre Dame College,True,False,,,Great Midwest Athletic,II,308,"[7, 10, 0, 14]",31.0,,,,Ashland,401431571,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Jack Miller Stadium,3770.0,1
,Wisconsin,III,272,"[0, 0, 7, 6]",13.0,,,,Wisconsin-Platteville,True,False,,,GLIAC,II,2392,"[0, 7, 16, 0]",23.0,,,,Michigan Tech,401431542,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Sherman Field,3927.0,1
,Mountain East,II,2699,"[7, 14, 0, 0]",21.0,,,,West Liberty,True,False,,,Pennsylvania State Athletic,II,2134,"[7, 0, 7, 0]",14.0,,,,Clarion,401432134,False,,2022,regular,2022-09-01T22:00:00.000Z,False,"Memorial Stadium (Clarion, PA)",4437.0,1
,Southern,FCS,2643,"[3, 0, 0, 7]",10.0,0.5509706829783971,,,The Citadel,True,False,2.5381447024,,Big South,FCS,2097,"[7, 10, 6, 6]",29.0,0.4490293170216029,,,Campbell,401421137,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Barker-Lane Stadium,3629.0,1
,NEC,FCS,2598,"[3, 10, 3, 7, 0]",23.0,0.8474613227445974,,,St Francis (PA),True,False,12.0273396679,,Mid-American,FBS,2006,"[3, 7, 7, 6, 7]",30.0,0.1525386772554026,1096.0,1096.0,Akron,401416568,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Summa Field at InfoCision Stadium,3768.0,1
,Mountain East,II,2986,"[0, 6, 3, 6]",15.0,,,,Fairmont State,True,False,,,Pennsylvania State Athletic,II,2858,"[7, 14, 7, 7]",35.0,,,,California (PA),401432987,False,,2022,regular,2022-09-01T22:30:00.000Z,False,Adamson Stadium,4436.0,1
,USA South,III,2056,[],49.0,,,,Belhaven College,True,False,,,Southern Athletic,III,2398,[],21.0,,,,Millsaps,401430986,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Harper Davis Field,6081.0,1
,Midwest,III,2286,"[7, 10, 14, 7]",38.0,,,,Illinois College,True,False,,,NACC,III,6353,"[6, 0, 0, 14]",20.0,,,,Lakeland University,401438660,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Taylor Field,5918.0,1
,South Atlantic,II,2336,"[0, 7, 7, 7]",21.0,0.001245374693149,,,Limestone,True,False,2.5774940634,,Big South,FCS,2241,"[28, 14, 14, 0]",56.0,0.998754625306851,,,Gardner-Webb,401432239,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Ernest W. Spangler Stadium,3710.0,1
