game_id,school,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt,completions,attempts,completionPercentage,fourth_success,fourth_attempts,fourthEffpct,possession_min_temp,possession_sec_temp,possessionTime_sec,third_success,third_attempts,thirdDownEffpct,penalty_flags,penalty_yards,win_loss
401403853,Hawai'i,Mountain West,home,10,28-55,0.0,20.0,0-4,2.0,0.0,,,0.0,0.0,89.0,7.0,4.0,250.0,5.0,,0.0,28:57,,,,0.0,26.0,1.0,108.0,0.0,44.0,0.0,5-16,4.0,8-72,358.0,2.0,4.5,4.2,28,55,0.509090909090909,0,4,0.0,28,57,1737,5,16,0.3125,8,72,0
401403854,Alabama,SEC,home,55,27-40,0.0,30.0,0-0,0.0,0.0,,,1.0,0.0,18.0,1.0,13.0,281.0,3.0,,6.0,31:51,0.0,20.0,3.0,4.0,32.0,1.0,278.0,0.0,26.0,5.0,6-10,,6-40,559.0,1.0,7.0,8.7,27,40,0.675,0,0,,31,51,1911,6,10,0.6,6,40,0
401403855,Arkansas,SEC,home,31,18-26,0.0,23.0,0-0,1.0,2.0,0.0,51.0,0.0,0.0,16.0,1.0,7.0,223.0,2.0,1.0,3.0,28:36,0.0,3.0,1.0,4.0,45.0,1.0,224.0,3.0,36.0,8.0,8-16,3.0,7-63,447.0,1.0,8.6,5.0,18,26,0.6923076923076923,0,0,,28,36,1716,8,16,0.5,7,63,0
401403856,Auburn,SEC,home,42,13-21,0.0,22.0,1-2,0.0,0.0,,,2.0,0.0,23.0,3.0,6.0,212.0,5.0,,1.0,27:57,0.0,45.0,5.0,5.0,41.0,5.0,285.0,1.0,38.0,3.0,4-8,,3-20,497.0,2.0,10.1,7.0,13,21,0.6190476190476191,1,2,0.5,27,57,1677,4,8,0.5,3,20,1
401403857,Florida,SEC,home,29,17-24,0.0,23.0,2-2,1.0,0.0,0.0,0.0,0.0,0.0,81.0,5.0,3.0,168.0,2.0,1.0,0.0,27:43,,,,5.0,39.0,4.0,283.0,0.0,36.0,2.0,7-12,2.0,7-38,451.0,1.0,7.0,7.3,17,24,0.7083333333333334,2,2,1.0,27,43,1663,7,12,0.5833333333333334,7,38,0
401403858,Georgia,SEC,home,49,30-37,0.0,26.0,0-0,0.0,0.0,0.0,22.0,0.0,0.0,36.0,1.0,7.0,439.0,3.0,2.0,3.0,31:10,,,,0.0,25.0,4.0,132.0,0.0,42.0,3.0,9-10,,7-75,571.0,0.0,11.9,5.3,30,37,0.8108108108108109,0,0,,31,10,1870,9,10,0.9,7,75,1
401403859,Kentucky,SEC,home,37,21-32,1.0,20.0,0-1,0.0,2.0,,,1.0,1.0,121.0,2.0,13.0,303.0,4.0,,3.0,28:07,0.0,25.0,2.0,1.0,26.0,0.0,50.0,3.0,30.0,4.0,2-8,0.0,4-30,353.0,1.0,9.5,1.9,21,32,0.65625,0,1,0.0,28,7,1687,2,8,0.25,4,30,0
401403860,Ole Miss,SEC,home,28,19-29,0.0,24.0,1-1,2.0,2.0,0.0,10.0,1.0,0.0,13.0,1.0,4.0,167.0,2.0,1.0,1.0,23:02,,,,5.0,44.0,3.0,266.0,4.0,51.0,10.0,9-14,4.0,3-16,433.0,3.0,5.8,6.0,19,29,0.6551724137931034,1,1,1.0,23,2,1382,9,14,0.6428571428571429,3,16,1
401403861,Mississippi State,SEC,home,49,38-49,0.0,34.0,0-0,1.0,2.0,,,1.0,0.0,37.0,2.0,7.0,450.0,4.0,,5.0,41:11,0.0,5.0,2.0,1.0,34.0,2.0,97.0,1.0,27.0,4.0,11-13,1.0,5-55,547.0,2.0,9.2,2.9,38,49,0.7755102040816326,0,0,,41,11,2471,11,13,0.8461538461538461,5,55,1
401403863,South Carolina,SEC,home,35,23-37,2.0,19.0,2-2,0.0,0.0,0.0,3.0,2.0,,,,7.0,227.0,9.0,1.0,1.0,35:16,2.0,98.0,7.0,6.0,32.0,1.0,79.0,0.0,41.0,6.0,3-14,,5-70,306.0,2.0,6.1,2.5,23,37,0.6216216216216216,2,2,1.0,35,16,2116,3,14,0.21428571428571427,5,70,1
401403864,Tennessee,SEC,home,59,27-35,0.0,32.0,3-3,1.0,0.0,0.0,5.0,0.0,0.0,16.0,2.0,11.0,351.0,5.0,2.0,3.0,29:55,,,,7.0,51.0,5.0,218.0,0.0,30.0,2.0,5-13,4.0,6-48,569.0,1.0,10.0,4.3,27,35,0.7714285714285715,3,3,1.0,29,55,1795,5,13,0.38461538461538464,6,48,1
401403865,Texas A&M,SEC,home,31,23-35,0.0,23.0,0-0,0.0,1.0,0.0,13.0,2.0,0.0,24.0,1.0,7.0,387.0,4.0,1.0,3.0,32:23,0.0,19.0,4.0,6.0,32.0,1.0,110.0,3.0,26.0,6.0,7-13,0.0,6-55,497.0,2.0,11.1,3.4,23,35,0.6571428571428571,0,0,,32,23,1943,7,13,0.5384615384615384,6,55,1
401403866,Vanderbilt,SEC,home,42,18-29,0.0,17.0,0-1,0.0,2.0,,,0.0,,,,6.0,245.0,3.0,,4.0,25:27,0.0,2.0,2.0,3.0,33.0,2.0,179.0,1.0,43.0,5.0,5-13,2.0,7-54,424.0,0.0,8.4,5.4,18,29,0.6206896551724138,0,1,0.0,25,27,1527,5,13,0.38461538461538464,7,54,1
401403867,Florida State,ACC,home,24,20-33,0.0,23.0,0-1,1.0,2.0,,,0.0,0.0,45.0,2.0,6.0,260.0,2.0,,2.0,34:06,0.0,0.0,1.0,0.0,38.0,1.0,132.0,4.0,49.0,6.0,11-17,,6-65,392.0,1.0,7.9,3.5,20,33,0.6060606060606061,0,1,0.0,34,6,2046,11,17,0.6470588235294118,6,65,1
401403868,Texas,Big 12,home,19,23-34,0.0,25.0,0-0,0.0,0.0,,,0.0,0.0,39.0,2.0,13.0,292.0,1.0,,0.0,30:44,0.0,10.0,3.0,7.0,33.0,1.0,79.0,2.0,33.0,6.0,3-12,,5-30,371.0,0.0,8.6,2.4,23,34,0.6764705882352942,0,0,,30,44,1844,3,12,0.25,5,30,0
401403869,Arkansas,SEC,home,44,18-21,0.0,28.0,2-3,0.0,2.0,0.0,0.0,0.0,0.0,34.0,1.0,6.0,162.0,3.0,1.0,1.0,34:37,0.0,13.0,1.0,6.0,65.0,5.0,295.0,6.0,35.0,9.0,9-16,0.0,10-122,457.0,0.0,7.7,4.5,18,21,0.8571428571428571,2,3,0.6666666666666666,34,37,2077,9,16,0.5625,10,122,1
401403870,Auburn,SEC,home,24,14-23,0.0,18.0,2-2,0.0,0.0,,,2.0,0.0,3.0,2.0,6.0,168.0,4.0,,0.0,26:39,0.0,22.0,1.0,6.0,38.0,3.0,210.0,3.0,42.0,6.0,4-11,3.0,9-85,378.0,2.0,7.3,5.5,14,23,0.6086956521739131,2,2,1.0,26,39,1599,4,11,0.36363636363636365,9,85,1
401403871,Florida,SEC,home,16,14-35,0.0,12.0,1-3,0.0,0.0,0.0,0.0,2.0,0.0,70.0,4.0,6.0,143.0,2.0,1.0,0.0,26:36,0.0,1.0,2.0,7.0,30.0,1.0,136.0,3.0,31.0,6.0,4-16,1.0,3-28,279.0,2.0,4.1,4.5,14,35,0.4,1,3,0.3333333333333333,26,36,1596,4,16,0.25,3,28,0
401403872,Georgia,SEC,home,33,29-43,0.0,25.0,0-0,0.0,1.0,,,0.0,,,,15.0,352.0,4.0,,1.0,40:03,0.0,32.0,2.0,0.0,32.0,2.0,127.0,1.0,26.0,5.0,5-13,1.0,4-25,479.0,0.0,8.2,4.0,29,43,0.6744186046511628,0,0,,40,3,2403,5,13,0.38461538461538464,4,25,1
401403873,LSU,SEC,home,65,23-34,1.0,23.0,0-1,0.0,8.0,1.0,29.0,2.0,0.0,18.0,1.0,9.0,320.0,4.0,1.0,3.0,31:14,0.0,52.0,2.0,0.0,36.0,5.0,230.0,3.0,30.0,4.0,7-12,0.0,6-40,550.0,2.0,9.4,6.4,23,34,0.6764705882352942,0,1,0.0,31,14,1874,7,12,0.5833333333333334,6,40,1
401403874,Ole Miss,SEC,home,59,18-32,0.0,25.0,0-2,0.0,4.0,0.0,4.0,1.0,0.0,38.0,2.0,11.0,277.0,6.0,2.0,4.0,23:44,0.0,29.0,2.0,4.0,37.0,3.0,233.0,2.0,36.0,4.0,3-8,1.0,9-79,510.0,1.0,8.7,6.3,18,32,0.5625,0,2,0.0,23,44,1424,3,8,0.375,9,79,1
401403875,Arizona,Pac-12,home,17,27-54,0.0,19.0,1-4,0.0,4.0,0.0,11.0,3.0,,,,5.0,276.0,4.0,1.0,1.0,23:03,,,,0.0,22.0,1.0,40.0,2.0,44.0,6.0,4-14,0.0,6-46,316.0,3.0,5.1,1.8,27,54,0.5,1,4,0.25,23,3,1383,4,14,0.2857142857142857,6,46,0
401403876,Kansas State,Big 12,home,40,9-20,1.0,18.0,2-2,1.0,0.0,0.0,3.0,0.0,0.0,24.0,2.0,10.0,101.0,2.0,4.0,0.0,32:01,1.0,76.0,1.0,2.0,43.0,4.0,235.0,1.0,40.0,10.0,4-13,2.0,8-68,336.0,1.0,5.1,5.5,9,20,0.45,2,2,1.0,32,1,1921,4,13,0.3076923076923077,8,68,1
401403877,Pittsburgh,ACC,home,27,23-44,0.0,21.0,3-5,1.0,4.0,,,1.0,0.0,30.0,2.0,9.0,274.0,4.0,,2.0,34:55,0.0,30.0,2.0,1.0,39.0,1.0,141.0,3.0,40.0,5.0,4-18,2.0,5-28,415.0,2.0,6.2,3.6,23,44,0.5227272727272727,3,5,0.6,34,55,2095,4,18,0.2222222222222222,5,28,0
401403878,Texas A&M,SEC,home,14,13-20,1.0,9.0,0-0,2.0,0.0,,,0.0,1.0,120.0,2.0,2.0,97.0,2.0,,0.0,18:17,0.0,1.0,1.0,4.0,18.0,1.0,89.0,1.0,36.0,0.0,2-8,4.0,7-60,186.0,2.0,4.9,4.9,13,20,0.65,0,0,,18,17,1097,2,8,0.25,7,60,0
401403879,Vanderbilt,SEC,home,25,16-26,0.0,11.0,1-1,2.0,1.0,,,1.0,0.0,64.0,3.0,5.0,181.0,7.0,,2.0,29:47,,,,1.0,34.0,1.0,113.0,2.0,34.0,4.0,2-13,3.0,3-23,294.0,3.0,7.0,3.3,16,26,0.6153846153846154,1,1,1.0,29,47,1787,2,13,0.15384615384615385,3,23,0
401403880,Alabama,SEC,home,63,13-20,3.0,23.0,1-3,0.0,0.0,1.0,25.0,2.0,0.0,57.0,1.0,9.0,236.0,3.0,1.0,3.0,23:37,2.0,262.0,9.0,4.0,39.0,3.0,273.0,4.0,31.0,9.0,1-6,3.0,6-60,509.0,2.0,11.8,7.0,13,20,0.65,1,3,0.3333333333333333,23,37,1417,1,6,0.16666666666666666,6,60,1
401403881,Arkansas,SEC,home,38,19-31,1.0,22.0,1-2,2.0,0.0,,,1.0,0.0,34.0,1.0,8.0,385.0,5.0,,2.0,24:09,1.0,105.0,3.0,5.0,36.0,2.0,212.0,8.0,33.0,9.0,5-13,2.0,6-58,597.0,3.0,12.4,5.9,19,31,0.6129032258064516,1,2,0.5,24,9,1449,5,13,0.38461538461538464,6,58,1
401403882,Auburn,SEC,home,12,21-38,0.0,23.0,1-2,2.0,0.0,,,2.0,0.0,78.0,4.0,6.0,296.0,3.0,,1.0,29:38,0.0,20.0,2.0,0.0,36.0,0.0,119.0,0.0,40.0,3.0,5-15,3.0,7-61,415.0,4.0,7.8,3.3,21,38,0.5526315789473685,1,2,0.5,29,38,1778,5,15,0.3333333333333333,7,61,0
401403883,Florida,SEC,home,31,10-18,1.0,17.0,0-0,0.0,1.0,1.0,39.0,2.0,,,,7.0,112.0,2.0,2.0,0.0,23:41,,,,5.0,30.0,3.0,217.0,0.0,40.0,4.0,3-8,0.0,6-48,329.0,2.0,6.2,7.2,10,18,0.5555555555555556,0,0,,23,41,1421,3,8,0.375,6,48,1
401403884,Kentucky,SEC,home,31,27-35,0.0,26.0,0-0,1.0,0.0,0.0,0.0,2.0,,,,7.0,377.0,7.0,1.0,2.0,38:10,0.0,18.0,4.0,2.0,36.0,2.0,103.0,2.0,20.0,6.0,6-11,3.0,10-74,480.0,3.0,10.8,2.9,27,35,0.7714285714285715,0,0,,38,10,2290,6,11,0.5454545454545454,10,74,0
401403885,LSU,SEC,home,31,22-37,0.0,20.0,1-2,1.0,1.0,0.0,19.0,0.0,0.0,18.0,1.0,7.0,210.0,2.0,1.0,1.0,32:42,0.0,1.0,1.0,4.0,38.0,3.0,206.0,4.0,30.0,8.0,6-15,1.0,7-39,416.0,1.0,5.7,5.4,22,37,0.5945945945945946,1,2,0.5,32,42,1962,6,15,0.4,7,39,1
401403886,Georgia Tech,ACC,home,0,18-32,0.0,13.0,0-2,0.0,0.0,0.0,-4.0,0.0,,,,,161.0,1.0,1.0,0.0,29:07,,,,1.0,34.0,0.0,53.0,1.0,44.0,12.0,6-18,,4-25,214.0,0.0,5.0,1.6,18,32,0.5625,0,2,0.0,29,7,1747,6,18,0.3333333333333333,4,25,0
401403887,Missouri,SEC,home,34,21-30,1.0,18.0,1-1,1.0,2.0,0.0,0.0,0.0,,,,10.0,292.0,3.0,1.0,3.0,34:10,1.0,111.0,4.0,2.0,42.0,0.0,195.0,0.0,37.0,3.0,5-15,1.0,9-85,487.0,1.0,9.7,4.6,21,30,0.7,1,1,1.0,34,10,2050,5,15,0.3333333333333333,9,85,1
401403888,South Carolina,SEC,home,7,19-34,0.0,17.0,2-3,0.0,0.0,,,3.0,0.0,25.0,1.0,1.0,214.0,2.0,,1.0,29:20,0.0,21.0,1.0,3.0,30.0,0.0,92.0,0.0,42.0,1.0,4-13,2.0,5-60,306.0,3.0,6.3,3.1,19,34,0.5588235294117647,2,3,0.6666666666666666,29,20,1760,4,13,0.3076923076923077,5,60,0
401403889,Tennessee,SEC,home,63,20-25,0.0,28.0,4-4,0.0,1.0,,,0.0,0.0,46.0,2.0,9.0,438.0,2.0,,4.0,24:43,0.0,27.0,2.0,6.0,45.0,5.0,238.0,4.0,47.0,11.0,6-13,0.0,11-118,676.0,0.0,17.5,5.3,20,25,0.8,4,4,1.0,24,43,1483,6,13,0.46153846153846156,11,118,1
401403890,Texas A&M,SEC,home,17,10-20,0.0,16.0,0-0,0.0,1.0,,,0.0,0.0,54.0,2.0,5.0,140.0,8.0,,1.0,25:40,0.0,7.0,3.0,6.0,32.0,1.0,124.0,0.0,41.0,3.0,4-12,1.0,5-55,264.0,0.0,7.0,3.9,10,20,0.5,0,0,,25,40,1540,4,12,0.3333333333333333,5,55,0
401403891,Northern Illinois,Mid-American,home,28,19-26,0.0,17.0,1-3,0.0,2.0,,,1.0,0.0,32.0,2.0,4.0,203.0,3.0,,3.0,29:21,,,,4.0,31.0,1.0,151.0,0.0,23.0,0.0,5-12,0.0,5-40,354.0,1.0,7.8,4.9,19,26,0.7307692307692307,1,3,0.3333333333333333,29,21,1761,5,12,0.4166666666666667,5,40,1
401403892,Alabama,SEC,home,55,30-43,0.0,34.0,1-2,1.0,0.0,,,0.0,,,,13.0,400.0,4.0,,4.0,32:17,0.0,88.0,6.0,3.0,34.0,3.0,228.0,5.0,26.0,8.0,7-12,4.0,6-55,628.0,1.0,9.3,6.7,30,43,0.6976744186046512,1,2,0.5,32,17,1937,7,12,0.5833333333333334,6,55,0
401403893,Texas A&M,SEC,home,23,11-21,0.0,16.0,0-0,0.0,3.0,,,0.0,,,,5.0,151.0,4.0,,1.0,29:26,,,,0.0,34.0,1.0,192.0,2.0,41.0,5.0,4-12,3.0,9-65,343.0,0.0,7.2,5.6,11,21,0.5238095238095238,0,0,,29,26,1766,4,12,0.3333333333333333,9,65,1
401403894,Auburn,SEC,home,17,14-21,0.0,15.0,3-4,0.0,2.0,0.0,19.0,0.0,,,,5.0,135.0,2.0,1.0,0.0,32:42,0.0,9.0,2.0,2.0,45.0,2.0,82.0,4.0,35.0,7.0,3-16,2.0,4-26,217.0,0.0,6.4,1.8,14,21,0.6666666666666666,3,4,0.75,32,42,1962,3,16,0.1875,4,26,1
401403895,Georgia,SEC,home,39,27-36,0.0,29.0,2-2,2.0,0.0,0.0,7.0,1.0,0.0,102.0,5.0,13.0,272.0,3.0,1.0,0.0,37:00,0.0,10.0,2.0,0.0,41.0,4.0,257.0,3.0,37.0,5.0,7-12,2.0,2-25,529.0,3.0,7.6,6.3,27,36,0.75,2,2,1.0,37,0,2220,7,12,0.5833333333333334,2,25,0
401403896,Kentucky,SEC,home,31,18-26,0.0,18.0,2-2,1.0,0.0,,,0.0,0.0,23.0,4.0,7.0,303.0,4.0,,4.0,33:43,0.0,6.0,2.0,2.0,35.0,0.0,103.0,0.0,29.0,1.0,10-16,2.0,2-8,406.0,1.0,11.7,2.9,18,26,0.6923076923076923,2,2,1.0,33,43,2023,10,16,0.625,2,8,1
401403897,LSU,SEC,home,38,33-39,0.0,28.0,2-3,1.0,0.0,,,0.0,0.0,23.0,1.0,8.0,414.0,1.0,,1.0,37:10,0.0,31.0,5.0,0.0,41.0,4.0,219.0,4.0,15.0,8.0,7-13,2.0,5-60,633.0,1.0,10.6,5.3,33,39,0.8461538461538461,2,3,0.6666666666666666,37,10,2230,7,13,0.5384615384615384,5,60,0
401403898,Ole Miss,SEC,home,35,13-24,0.0,27.0,1-1,1.0,0.0,0.0,19.0,0.0,0.0,21.0,2.0,5.0,154.0,6.0,1.0,2.0,25:47,0.0,5.0,4.0,10.0,51.0,3.0,308.0,0.0,33.0,2.0,7-15,5.0,6-61,462.0,1.0,6.4,6.0,13,24,0.5416666666666666,1,1,1.0,25,47,1547,7,15,0.4666666666666667,6,61,0
401403899,Mississippi State,SEC,home,45,42-54,0.0,25.0,2-2,0.0,0.0,0.0,20.0,0.0,0.0,91.0,3.0,9.0,420.0,2.0,1.0,6.0,27:12,0.0,7.0,2.0,2.0,11.0,0.0,45.0,2.0,22.0,5.0,4-11,2.0,3-30,465.0,0.0,7.8,4.1,42,54,0.7777777777777778,2,2,1.0,27,12,1632,4,11,0.36363636363636365,3,30,1
401403901,Tennessee,SEC,home,38,22-28,0.0,27.0,0-2,2.0,1.0,0.0,5.0,0.0,0.0,61.0,2.0,8.0,349.0,1.0,1.0,2.0,25:03,,,,13.0,42.0,3.0,227.0,1.0,47.0,4.0,6-9,2.0,6-50,576.0,2.0,12.5,5.4,22,28,0.7857142857142857,0,2,0.0,25,3,1503,6,9,0.6666666666666666,6,50,1
401403902,Arkansas,SEC,home,26,17-34,0.0,27.0,0-1,1.0,0.0,0.0,-3.0,0.0,,,,8.0,190.0,2.0,1.0,1.0,33:27,0.0,13.0,1.0,3.0,51.0,2.0,187.0,1.0,26.0,4.0,5-17,1.0,6-31,377.0,1.0,5.6,3.7,17,34,0.5,0,1,0.0,33,27,2007,5,17,0.29411764705882354,6,31,0
401403903,Auburn,SEC,home,17,19-39,0.0,20.0,1-2,2.0,2.0,,,2.0,0.0,61.0,4.0,5.0,337.0,2.0,,2.0,30:53,0.0,20.0,3.0,2.0,31.0,0.0,101.0,3.0,44.0,8.0,6-15,6.0,8-80,438.0,4.0,8.6,3.3,19,39,0.48717948717948717,1,2,0.5,30,53,1853,6,15,0.4,8,80,0
401403904,Florida,SEC,home,52,16-22,0.0,20.0,0-1,0.0,1.0,,,1.0,0.0,24.0,1.0,10.0,392.0,2.0,,3.0,23:32,0.0,23.0,4.0,3.0,28.0,4.0,274.0,2.0,38.0,7.0,3-6,1.0,5-40,666.0,1.0,17.8,9.8,16,22,0.7272727272727273,0,1,0.0,23,32,1412,3,6,0.5,5,40,1
401403905,Ole Miss,SEC,home,22,15-29,0.0,19.0,0-1,0.0,4.0,,,1.0,0.0,51.0,2.0,8.0,213.0,3.0,,0.0,23:07,,,,1.0,39.0,2.0,186.0,3.0,38.0,9.0,7-14,1.0,3-31,399.0,1.0,7.3,4.8,15,29,0.5172413793103449,0,1,0.0,23,7,1387,7,14,0.5,3,31,0
