collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade
4426349,105673,61,Georgia,SEC,Jacksonville,2022,1,1,1,Travon Walker,Defensive End,77.0,272.0,2.0,2.0,93.0
4372099,105537,130,Michigan,Big Ten,Detroit,2022,2,1,2,Aidan Hutchinson,Defensive End,79.0,260.0,1.0,1.0,94.0
4426434,105534,99,LSU,SEC,Houston,2022,3,1,3,Derek Stingley Jr.,Cornerback,72.0,190.0,8.0,2.0,92.0
4427250,105558,2132,Cincinnati,American Athletic,New York,2022,4,1,4,Ahmad Gardner,Cornerback,75.0,190.0,5.0,1.0,93.0
4426326,105533,2483,Oregon,Pac-12,New York,2022,5,1,5,Kayvon Thibodeaux,Defensive End,76.0,254.0,7.0,3.0,93.0
4427132,105589,152,NC State,ACC,Carolina,2022,6,1,6,Ikem Ekwonu,Offensive Tackle,76.0,310.0,3.0,1.0,93.0
4567134,105535,333,Alabama,SEC,New York,2022,7,1,7,Evan Neal,Offensive Tackle,80.0,337.0,4.0,2.0,93.0
4426502,105554,30,USC,Pac-12,Atlanta,2022,8,1,8,Drake London,Wide Receiver,76.0,219.0,11.0,2.0,92.0
4426376,105539,344,Mississippi State,SEC,Seattle,2022,9,1,9,Charles Cross,Offensive Tackle,77.0,307.0,10.0,3.0,92.0
4569618,105540,194,Ohio State,Big Ten,New York,2022,10,1,10,Garrett Wilson,Wide Receiver,72.0,183.0,6.0,1.0,93.0
4361370,105544,194,Ohio State,Big Ten,New Orleans,2022,11,1,11,Chris Olave,Wide Receiver,72.0,187.0,15.0,4.0,91.0
4426388,105553,333,Alabama,SEC,Detroit,2022,12,1,12,Jameson Williams,Wide Receiver,74.0,179.0,13.0,3.0,92.0
4381558,105548,61,Georgia,SEC,Philadelphia,2022,13,1,13,Jordan Davis,Defensive Tackle,78.0,341.0,12.0,1.0,92.0
4575517,105536,87,Notre Dame,FBS Independents,Baltimore,2022,14,1,14,Kyle Hamilton,Safety,76.0,220.0,9.0,1.0,92.0
4426327,105577,245,Texas A&M,SEC,Houston,2022,15,1,15,Kenyon Green,Offensive Guard,76.0,323.0,26.0,1.0,89.0
4361409,105545,213,Penn State,Big Ten,Washington,2022,16,1,16,Jahan Dotson,Wide Receiver,71.0,178.0,25.0,6.0,89.0
4247347,105562,103,Boston College,ACC,Los Angeles,2022,17,1,17,Zion Johnson,Offensive Guard,75.0,312.0,28.0,2.0,88.0
4567156,105550,8,Arkansas,SEC,Tennessee,2022,18,1,18,Treylon Burks,Wide Receiver,74.0,225.0,24.0,5.0,89.0
4248627,105572,2460,Northern Iowa,MVFC,New Orleans,2022,19,1,19,Trevor Penning,Offensive Tackle,79.0,325.0,17.0,4.0,91.0
4240703,105557,221,Pittsburgh,ACC,Pittsburgh,2022,20,1,20,Kenny Pickett,Quarterback,75.0,217.0,22.0,2.0,90.0
4426405,105627,264,Washington,Pac-12,Kansas City,2022,21,1,21,Trent McDuffie,Cornerback,71.0,193.0,16.0,3.0,91.0
4379416,105890,61,Georgia,SEC,Green Bay,2022,22,1,22,Quay Walker,Inside Linebacker,76.0,241.0,31.0,3.0,88.0
4567399,105542,57,Florida,SEC,Buffalo,2022,23,1,23,Kaiir Elam,Cornerback,74.0,191.0,32.0,5.0,88.0
4568652,106067,202,Tulsa,American Athletic,Dallas,2022,24,1,24,Tyler Smith,Offensive Tackle,77.0,324.0,33.0,5.0,88.0
4360499,105551,2294,Iowa,Big Ten,Baltimore,2022,25,1,25,Tyler Linderbaum,Center,74.0,296.0,29.0,1.0,88.0
4567962,105660,52,Florida State,ACC,New York,2022,26,1,26,Jermaine Johnson II,Defensive End,77.0,254.0,14.0,4.0,92.0
4243256,105546,254,Utah,Pac-12,Jacksonville,2022,27,1,27,Devin Lloyd,Inside Linebacker,75.0,237.0,20.0,2.0,91.0
4361791,105708,61,Georgia,SEC,Green Bay,2022,28,1,28,Devonte Wyatt,Defensive Tackle,75.0,304.0,23.0,2.0,90.0
4051001,105912,236,Chattanooga,Southern,New England,2022,29,1,29,Cole Strange,Offensive Guard,77.0,307.0,77.0,3.0,77.0
4426659,105549,2509,Purdue,Big Ten,Kansas City,2022,30,1,30,George Karlaftis,Defensive End,76.0,266.0,37.0,6.0,87.0
4426422,105587,130,Michigan,Big Ten,Cincinnati,2022,31,1,31,Daxton Hill,Safety,72.0,191.0,18.0,2.0,91.0
4426536,105604,61,Georgia,SEC,Minnesota,2022,32,1,32,Lewis Cine,Safety,74.0,199.0,41.0,3.0,86.0
4360189,105607,248,Houston,American Athletic,Tampa Bay,2022,33,2,1,Logan Hall,Defensive End,78.0,283.0,45.0,7.0,86.0
4248528,105939,2449,North Dakota State,MVFC,Green Bay,2022,34,2,2,Christian Watson,Wide Receiver,76.0,208.0,39.0,7.0,87.0
4371973,105559,2,Auburn,SEC,Tennessee,2022,35,2,3,Roger McCreary,Cornerback,71.0,190.0,48.0,7.0,85.0
4427366,105568,66,Iowa State,Big 12,New York,2022,36,2,4,Breece Hall,Running Back,71.0,217.0,30.0,1.0,88.0
4241223,105659,239,Baylor,Big 12,Houston,2022,37,2,5,Jalen Pitre,Safety,71.0,198.0,49.0,4.0,85.0
4257591,105570,213,Penn State,Big Ten,Atlanta,2022,38,2,6,Arnold Ebiketie,Defensive End,74.0,250.0,34.0,5.0,87.0
4361093,106012,264,Washington,Pac-12,Chicago,2022,39,2,7,Kyler Gordon,Cornerback,72.0,194.0,36.0,6.0,87.0
4240754,105598,135,Minnesota,Big Ten,Seattle,2022,40,2,8,Boye Mafe,Outside Linebacker,76.0,261.0,38.0,2.0,87.0
