title,description,date
SMITH “EXCITED ABOUT HAVING NO DIVISIONS”,Gene Smith is happy the Big Ten is going divisionless and “OK with” not playing Penn State every year because he felt that was more of a “competitive rivalry” than a...,"08 Jun 2023
by Dan Hope
48 COMMENTS"
"OSU AT UCLA IN 2024, HOSTS USC IN 2025",Ohio State will play UCLA on the road in 2024 and is set to host USC in 2025 as the Big Ten announces conference matchups for those years and a new divisionless model.,"08 Jun 2023
by Griffin Strom
81 COMMENTS"
MICHIGAN WILL BE ONLY ANNUAL OPPONENT,Ohio State will play Michigan every year while it will play every other team in the Big Ten at least twice every four years when the conference goes divisionless in 2024.,"08 Jun 2023
by Dan Hope
122 COMMENTS"
JAYDEN BONSU,"Jayden Bonsu has experience at all three safety positions and the speed, anticipation and size to eventually thrive in Jim Knowles' three-safety defense at Ohio State.","08 Jun 2023
by Josh Poloha
13 COMMENTS"
B1G TO UNVEIL NEW SCHEDULE MODEL THURSDAY,The Big Ten will release its new football scheduling model and who every team will play during the 2024 and 2025 seasons at 4:30 p.m. Thursday on Big Ten Network.,"07 Jun 2023
by Dan Hope
38 COMMENTS"
OSU STICKING WITH TURF IN THE SHOE,"Gene Smith says Ohio State has no plans to switch back to grass inside Ohio Stadium, in part because turf makes the Shoe “more usable” for events other than football games.","07 Jun 2023
by Dan Hope
95 COMMENTS"
TWO FOR FLINCHING,"Last season Ohio State football forfeited its identity, and all it took was one lousy week off.","07 Jun 2023
by Ramzy Nasrallah
39 COMMENTS"
GENE DOESN’T EXPECT PEACOCK GAME THIS YEAR,"Gene Smith doesn’t anticipate Ohio State will play a Peacock-only football game this year, though he says some men’s basketball games could be exclusive to the platform.","07 Jun 2023
by Dan Hope
25 COMMENTS"
NO MORE LATE-NOVEMBER NIGHT GAMES,Gene Smith says Ohio State will not play night games at home past the first weekend of November after this season's Nov. 11 matchup with Michigan State under the lights.,"07 Jun 2023
by Griffin Strom
71 COMMENTS"
"PHILBIN TO MAKE $266,667 IN 2023","Joe Philbin will be paid $266,667 in 2023 in his new role as a senior advisor/analyst for Ohio State.","06 Jun 2023
by Dan Hope
27 COMMENTS"
VIMAHI MAKING CASE ON OFFENSIVE LINE,"Donovan Jackson and Matt Jones are still in line to be the starting guards, but Enokk Vimahi made his case this spring for being one of Ohio State’s top five offensive linemen.","06 Jun 2023
by Dan Hope
29 COMMENTS"
"MALONE WILL BE ""DIFFERENT ATHLETE"" AT OSU","No longer splitting his focus between football and baseball, Larry Johnson thinks Tywone Malone can be ""a different athlete"" at Ohio State than he was at Ole Miss.","06 Jun 2023
by Griffin Strom
25 COMMENTS"
USFL OFFENSIVE PLAYER OF THE WEEK,"Johnnie Dixon is the USFL’s offensive player of the week following his 136-yard, two-touchdown performance in the New Orleans Breakers’ win over the Michigan Panthers.","05 Jun 2023
by Dan Hope
20 COMMENTS"
KICKER COMPETITION “IN A GOOD PLACE”,"Parker Fleming is looking for consistency in Ohio State’s kicking competition between Jayden Fielding and Parker Lewis, who he said both had “great springs.”","05 Jun 2023
by Dan Hope
22 COMMENTS"
"KNOWLES SEES “OPPORTUNITY TO BE THE BEST""","Still “haunted” by the end of Ohio State’s 2022 season, Jim Knowles thinks the Buckeyes have an “opportunity to be the best” defense in college football in 2023.","05 Jun 2023
by Griffin Strom
98 COMMENTS"
STOP THE SKID,Two-game losing streaks to Michigan are a rare occurrence over the last 30 years. Here's how previous Buckeye teams fared in stopping the losing streaks.,"04 Jun 2023
by Chris Lauderback
77 COMMENTS"
"LAURINAITIS, CHAMBERS PICK OSU’S BEST LBS",Ohio State graduate assistant James Laurinaitis and linebacker Steele Chambers discuss their Mount Rushmore for Buckeye linebackers and more in “Tradition Talk.”,"03 Jun 2023
by Josh Poloha
66 COMMENTS"
“THE ADDITION OF JOE HAS BEEN PHENOMENAL”,Brian Hartline expects to learn more from Joe Philbin now than he did when Philbin was his NFL head coach and says “everyone in the building can learn something from him.”,"03 Jun 2023
by Dan Hope
38 COMMENTS"
"C.J. IS “ALREADY WAY, WAY AHEAD OF PACE”",The Houston Texans coaching staff is heaping plenty of praise on No. 2 overall draft pick C.J. Stroud during his second week of OTAs.,"02 Jun 2023
by Griffin Strom
59 COMMENTS"
DAY SAYS NIL BRINGS CHALLENGES IN PORTAL,"Appearing as a guest on Chris Holtmann's podcast Wednesday, Ryan Day said “NIL combined with the transfer portal” is the most difficult part of his job at Ohio State.","02 Jun 2023
by Garrick Hodge
20 COMMENTS"
