,attendance,away_conference,away_division,away_id,away_line_scores,away_points,away_post_win_prob,away_postgame_elo,away_pregame_elo,away_team,completed,conference_game,excitement_index,highlights,home_conference,home_division,home_id,home_line_scores,home_points,home_post_win_prob,home_postgame_elo,home_pregame_elo,home_team,id,neutral_site,notes,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,,Atlantic Sun,fcs,2046,"[10, 7, 3, 7]",27,0.04572357337737354,,,Austin Peay,True,False,2.6135509766,,Conference USA,fbs,98,"[7, 14, 0, 17]",38,0.9542764266226265,1684,1684,Western Kentucky,401426532,False,,2022,regular,2022-08-27T16:00:00.000Z,False,Houchens Industries-L. T. Smith Stadium,3796,1
1,,Big Ten,fbs,158,"[7, 7, 14, 0]",28,0.45245654026480564,1616,1636,Nebraska,True,True,8.3493556676,,Big Ten,fbs,77,"[3, 14, 7, 7]",31,0.5475434597351944,1381,1361,Northwestern,401405059,True,,2022,regular,2022-08-27T16:30:00.000Z,False,Aviva Stadium,3504,1
2,,SIAC,ii,2206,"[0, 0, 21, 13]",34,,,,Edward Waters,True,False,,,,,125762,"[13, 13, 6, 7]",39,,,,Florida Memorial University,401439512,True,,2022,regular,2022-08-27T19:00:00.000Z,False,,,1
3,,Western Athletic,fcs,2617,"[7, 10, 0, 0]",17,0.0011829169683287288,,,Stephen F. Austin,True,False,5.2414690984,,Atlantic Sun,fcs,55,"[7, 14, 21, 0]",42,0.9988170830316713,,,Jacksonville State,401413213,True,FCS Kickoff,2022,regular,2022-08-27T19:30:00.000Z,False,Cramton Bowl,3689,1
4,,Big Sky,fcs,304,"[7, 0, 7, 7]",21,,,,Idaho State,True,False,,,Mountain West,fbs,2439,"[10, 35, 0, 7]",52,,1300,1300,UNLV,401413256,False,,2022,regular,2022-08-27T19:30:00.000Z,False,Allegiant Stadium,6501,1
5,,FBS Independents,fbs,41,"[14, 0, 0, 6]",20,0.010834414292027916,1128,1117,Connecticut,True,False,4.5637067523,,Mountain West,fbs,328,"[0, 24, 0, 7]",31,0.9891655857079721,1555,1566,Utah State,401404146,False,,2022,regular,2022-08-27T20:00:00.000Z,False,Romney Stadium,3905,1
6,,Mountain West,fbs,2751,"[3, 0, 3, 0]",6,0.0025277087946428134,1409,1497,Wyoming,True,False,2.571416914,,Big Ten,fbs,356,"[7, 10, 7, 14]",38,0.9974722912053572,1584,1496,Illinois,401405058,False,,2022,regular,2022-08-27T20:00:00.000Z,False,Memorial Stadium,3832,1
7,,NEC,fcs,2184,"[0, 0, 7, 0]",7,0.001057792030546234,,,Duquesne,True,False,1.058953588,,ACC,fbs,52,"[20, 6, 14, 7]",47,0.9989422079694538,1501,1501,Florida State,401411090,False,,2022,regular,2022-08-27T21:00:00.000Z,False,Bobby Bowden Field at Doak Campbell Stadium,3697,1
8,,Pioneer,fcs,2413,"[0, 10, 3, 0]",13,0.0010318074099820995,,,Morehead State,True,False,1.1544784977,,Southern,fcs,2382,"[14, 28, 14, 7]",63,0.9989681925900179,,,Mercer,401422922,False,,2022,regular,2022-08-27T23:00:00.000Z,False,Five Star Stadium at the Moye Complex,4417,1
9,,Conference USA,fbs,2429,"[7, 0, 6, 0]",13,0.0011584457822981786,1211,1272,Charlotte,True,True,6.6262524505,,Conference USA,fbs,2226,"[10, 16, 7, 10]",43,0.9988415542177018,1488,1427,Florida Atlantic,401426530,False,,2022,regular,2022-08-27T23:00:00.000Z,False,FAU Stadium,3715,1
10,,MEAC,fcs,47,"[3, 3, 0, 7]",13,0.029373146996302668,,,Howard,True,False,5.8728268228,,SWAC,fcs,2011,"[6, 7, 7, 3]",23,0.9706268530036973,,,Alabama State,401423448,True,Cricket MEAC/SWAC Challenge Kickoff,2022,regular,2022-08-27T23:00:00.000Z,False,Georgia State Stadium,4246,1
11,,SWAC,fcs,50,"[7, 7, 10, 0]",24,0.03629921926267887,,,Florida A&M,True,False,1.2411118443,,ACC,fbs,153,"[14, 14, 7, 21]",56,0.9637007807373211,1555,1555,North Carolina,401411091,False,,2022,regular,2022-08-28T00:15:00.000Z,False,Kenan Memorial Stadium,3787,1
12,,Conference USA,fbs,249,"[0, 14, 14, 3]",31,0.9952536646437844,1463,1426,North Texas,True,True,4.1152955946,,Conference USA,fbs,2638,"[0, 13, 0, 0]",13,0.004746335356215618,1323,1360,UTEP,401426531,False,,2022,regular,2022-08-28T01:00:00.000Z,False,Sun Bowl Stadium,3946,1
13,,Mountain West,fbs,2440,"[0, 17, 0, 6]",23,0.865630293812243,1556,1564,Nevada,True,False,3.8315877915,,FBS Independents,fbs,166,"[0, 2, 7, 3]",12,0.13436970618775704,1192,1184,New Mexico State,401409235,False,,2022,regular,2022-08-28T02:00:00.000Z,False,Aggie Memorial Stadium,3601,1
14,,SEC,fbs,238,"[14, 7, 35, 7]",63,0.9996410399011048,1431,1222,Vanderbilt,True,False,2.4199370723,,Mountain West,fbs,62,"[7, 3, 0, 0]",10,0.0003589600988952661,1223,1432,Hawai'i,401403853,False,,2022,regular,2022-08-28T02:30:00.000Z,False,Clarence T.C. Ching Athletics Complex,7220,1
15,,Lone Star,ii,2201,"[3, 7, 17, 7]",34,,,,Eastern New Mexico,True,False,,,Rocky Mountain,ii,2424,"[0, 3, 7, 8]",18,,,,New Mexico Highlands,401437007,False,,2022,regular,2022-09-01T18:00:00.000Z,False,Sanchez Family Stadium,6059,1
16,,Pennsylvania State Athletic,ii,2974,"[14, 13, 21, 0]",48,,,,Shepherd,True,False,,,Northeast 10,ii,2583,"[0, 0, 7, 0]",7,,,,Southern Connecticut State,401433043,False,,2022,regular,2022-09-01T21:30:00.000Z,False,Jess Dow Field,6071,1
17,,Wisconsin,iii,272,"[0, 0, 7, 6]",13,,,,Wisconsin-Platteville,True,False,,,GLIAC,ii,2392,"[0, 7, 16, 0]",23,,,,Michigan Tech,401431542,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Sherman Field,3927,1
18,,CIAA,ii,395,"[0, 6, 0, 7]",13,,,,St. Augustine's,True,False,,,South Atlantic,ii,2839,"[14, 21, 21, 14]",70,,,,Tusculum,401430722,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Pioneer Field (TN),6078,1
19,,CIAA,ii,2304,"[7, 13, 7, 0, 7]",34,,,,Johnson C Smith,True,False,,,Independent DII,ii,124180,"[7, 3, 10, 7, 8]",35,,,,Bluefield,401430716,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Mitchell Stadium,6221,1
20,,Mountain East,ii,2699,"[7, 14, 0, 0]",21,,,,West Liberty,True,False,,,Pennsylvania State Athletic,ii,2134,"[7, 0, 7, 0]",14,,,,Clarion,401432134,False,,2022,regular,2022-09-01T22:00:00.000Z,False,"Memorial Stadium (Clarion, PA)",4437,1
21,,Atlantic Sun,fcs,2453,"[0, 7, 0, 7, 0]",14,0.24824226855845632,,,North Alabama,True,False,13.4274129564,,MVFC,fcs,282,"[3, 3, 0, 8, 3]",17,0.7517577314415437,,,Indiana State,401418776,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Memorial Stadium,3829,1
22,,South Atlantic,ii,122666,"[7, 3, 0, 7]",17,,,,Barton College,True,False,,,CIAA,ii,2804,"[0, 0, 3, 0]",3,,,,Chowan,401431978,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Garrison Stadium,5220,1
23,,Mountain East,ii,455,"[0, 0, 0, 0]",0,,,,WV Wesleyan,True,False,,,GLIAC,ii,129,"[20, 17, 7, 28]",72,,,,Saginaw Valley,401431561,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Harvey Randall Wickes Memorial Stadium,3885,1
24,,Mountain East,ii,587,"[0, 0, 7, 7]",14,,,,Notre Dame College,True,False,,,Great Midwest Athletic,ii,308,"[7, 10, 0, 14]",31,,,,Ashland,401431571,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Jack Miller Stadium,3770,1
25,,Patriot,fcs,2230,"[7, 7, 20, 14]",48,0.9784514479409526,,,Fordham,True,False,9.5471969422,,NEC,fcs,2681,"[7, 14, 7, 3]",31,0.021548552059047384,,,Wagner,401428480,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Wagner College Stadium,3979,1
26,,NEC,fcs,2598,"[3, 10, 3, 7, 0]",23,0.8474613227445974,,,St Francis (PA),True,False,12.0273396679,,Mid-American,fbs,2006,"[3, 7, 7, 6, 7]",30,0.1525386772554026,1096,1096,Akron,401416568,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Summa Field at InfoCision Stadium,3768,1
27,,Southern,fcs,2643,"[3, 0, 0, 7]",10,0.5509706829783971,,,The Citadel,True,False,2.5381447024,,Big South,fcs,2097,"[7, 10, 6, 6]",29,0.4490293170216029,,,Campbell,401421137,False,,2022,regular,2022-09-01T22:00:00.000Z,False,Barker-Lane Stadium,3629,1
28,,Mountain East,ii,2986,"[0, 6, 3, 6]",15,,,,Fairmont State,True,False,,,Pennsylvania State Athletic,ii,2858,"[7, 14, 7, 7]",35,,,,California (PA),401432987,False,,2022,regular,2022-09-01T22:30:00.000Z,False,Adamson Stadium,4436,1
29,,Big South,fcs,2803,"[9, 7, 0, 14, 7]",37,0.5928593061799015,,,Bryant,True,False,12.8939729771,,Conference USA,fbs,2229,"[0, 6, 0, 24, 8]",38,0.4071406938200985,1080,1080,Florida International,401426533,False,,2022,regular,2022-09-01T23:00:00.000Z,False,FIU Stadium,218,1
30,,Northern Sun,ii,389,"[0, 0, 0, 0]",0,,,,Upper Iowa,True,True,,,Northern Sun,ii,425,"[6, 10, 0, 14]",30,,,,Northern State,401432429,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Swisher Field,3951,1
31,,Pennsylvania State Athletic,ii,2188,"[3, 3, 0, 10]",16,,,,East Stroudsburg,True,False,,,Northeast 10,ii,2487,"[17, 3, 11, 0]",31,,,,Pace,401455581,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Pace Stadium,6066,1
32,,Northern Sun,ii,2364,"[13, 17, 0, 7]",37,,,,Minnesota State,True,True,,,Northern Sun,ii,132,"[13, 0, 14, 7]",34,,,,Bemidji State,401432392,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Chet Anderson Stadium,5874,1
33,,Northern Sun,ii,2587,"[7, 0, 14, 0]",21,,,,Southwest Minnesota State,True,True,,,Northern Sun,ii,134,"[7, 14, 0, 10]",31,,,,Minnesota-Duluth,401432403,False,,2022,regular,2022-09-01T23:00:00.000Z,False,James S. Malosky Stadium,6051,1
34,,Mountain East,ii,2128,"[0, 6, 7, 0]",13,,,,Charleston (WV),True,False,,,Pennsylvania State Athletic,ii,367,"[13, 14, 6, 14]",47,,,,Gannon,401438595,False,,2022,regular,2022-09-01T23:00:00.000Z,False,McConnell Family Stadium,4441,1
35,,Mid-American,fbs,2050,"[0, 0, 7, 3]",10,0.0015806069051993443,1294,1410,Ball State,True,False,1.1199358518,,SEC,fbs,2633,"[17, 21, 14, 7]",59,0.9984193930948007,1756,1640,Tennessee,401403864,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Neyland Stadium,3853,1
36,,NEC,fcs,112358,"[0, 0, 0, 0]",0,0.006518984596762145,,,Long Island University,True,False,1.1696927417,,Mid-American,fbs,2649,"[3, 17, 0, 17]",37,0.9934810154032379,1534,1534,Toledo,401441990,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Glass Bowl,3739,1
37,,Northern Sun,ii,2894,"[10, 10, 7, 0]",27,,,,Sioux Falls,True,True,,,Northern Sun,ii,2817,"[0, 7, 0, 7]",14,,,,Minnesota St-Moorhead,401432412,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Scheels Field at Nemzek Stadium,3606,1
38,,Northeast 10,ii,2022,"[0, 0, 0, 7]",7,,,,American International,True,False,,,Mountain East,ii,341,"[7, 7, 0, 7]",21,,,,Frostburg State,401432119,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Bobcat Stadium (MD),3642,1
39,,Old Dominion,iii,366,"[0, 0, 6, 3]",9,,,,Ferrum,True,False,,,South Atlantic,ii,2842,"[21, 10, 10, 0]",41,,,,UVA-Wise,401438604,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Carl Smith Stadium,6033,1
40,,Gulf South,ii,2822,"[0, 0, 0, 0]",0,0.001030653619799371,,,North Greenville,True,False,3.2659842888,,Southern,fcs,231,"[21, 24, 0, 7]",52,0.9989693463802006,,,Furman,401421156,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Paladin Stadium,3868,1
41,,Atlantic Sun,fcs,338,"[7, 0, 10, 0]",17,0.06445840017988547,,,Kennesaw State,True,False,7.2965680965,,Southern,fcs,2535,"[0, 14, 0, 13]",27,0.9355415998201145,,,Samford,401418645,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Seibert Stadium,3925,1
42,,CAA,fcs,227,"[7, 7, 7, 14]",35,0.7718315245292283,,,Rhode Island,True,True,4.981276982,,CAA,fcs,2619,"[7, 7, 0, 0]",14,0.22816847547077165,,,Stony Brook,401424414,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Kenneth P. LaValle Stadium,3788,1
43,,Great American,ii,2264,"[7, 7, 7, 8]",29,,,,Harding,True,True,,,Great American,ii,2191,"[0, 9, 3, 0]",12,,,,East Central,401431408,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Koi Ishto Stadium,5936,1
44,,Great American,ii,2028,"[14, 7, 13, 6]",40,,,,Arkansas-Monticello,True,True,,,Great American,ii,200,"[0, 19, 7, 0]",26,,,,Southern Nazarene,401431484,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Southern Nazarene University Football Stadium,3934,1
45,,South Atlantic,ii,2336,"[0, 7, 7, 7]",21,0.001245374693149004,,,Limestone,True,False,2.5774940634,,Big South,fcs,2241,"[28, 14, 14, 0]",56,0.998754625306851,,,Gardner-Webb,401432239,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Ernest W. Spangler Stadium,3710,1
46,,Pennsylvania State Athletic,ii,210,"[0, 3, 0, 7]",10,,,,Millersville,True,False,,,Northeast 10,ii,2830,"[7, 0, 7, 14]",28,,,,St. Anselm,401432383,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Grappone Stadium,6074,1
47,,Great American,ii,2888,"[0, 14, 14, 14]",42,,,,Ouachita Baptist,True,True,,,Great American,ii,319,"[2, 10, 0, 20]",32,,,,Oklahoma Baptist,401431465,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Crain Family Stadium,6064,1
48,,Great American,ii,2823,[],31,,,,Northwestern Oklahoma State,True,True,,,Great American,ii,2568,[],62,,,,Southern Arkansas,401431479,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Wilkins Stadium,5891,1
49,,Great American,ii,2033,"[10, 0, 21, 0, 3, 0]",34,,,,Arkansas Tech,True,True,,,Great American,ii,199,"[3, 10, 7, 11, 3, 7]",41,,,,Southeastern Oklahoma,401431472,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Paul Laird Field,3875,1
50,,Rocky Mountain,ii,613,"[13, 13, 10, 7]",43,,,,South Dakota Mines,True,False,,,Great Lakes,ii,2402,"[6, 7, 0, 7]",20,,,,Missouri S&T,401431509,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Allgood-Bailey Stadium,3609,1
51,,Great Lakes,ii,2816,"[14, 3, 0, 7, 7]",31,,,,McKendree,True,False,,,GLIAC,ii,128,"[7, 7, 7, 3, 0]",24,,,,Northern Michigan,401431499,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Superior Dome,3950,1
52,,,,2355,"[0, 0, 0, 0]",0,,,,Virginia Lynchburg,True,False,,,CIAA,ii,2676,"[14, 21, 28, 14]",77,,,,Virginia Union,401430702,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Hovey Field,6032,1
53,,Mid-American,fbs,2117,"[7, 8, 7, 22]",44,0.39939073388751034,1528,1536,Central Michigan,True,False,2.0476622516,,Big 12,fbs,197,"[16, 28, 7, 7]",58,0.6006092661124897,1783,1775,Oklahoma State,401416569,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Boone Pickens Stadium,3646,1
54,,Big 12,fbs,277,"[0, 10, 7, 14]",31,0.013402669549195445,1490,1490,West Virginia,True,False,9.9132290774,,ACC,fbs,221,"[3, 7, 14, 14]",38,0.9865973304508046,1667,1667,Pittsburgh,401411092,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Heinz Field,3752,1
55,,CAA,fcs,2405,"[7, 7, 7, 0]",21,0.026817523781151875,,,Monmouth,True,True,10.2052889162,,CAA,fcs,160,"[7, 10, 0, 14]",31,0.9731824762188481,,,New Hampshire,401424402,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Wildcat Stadium,3688,1
56,,Midwest,iii,2286,"[7, 10, 14, 7]",38,,,,Illinois College,True,False,,,NACC,iii,6353,"[6, 0, 0, 14]",20,,,,Lakeland University,401438660,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Taylor Field,5918,1
57,,USA South,iii,2056,[],49,,,,Belhaven College,True,False,,,Southern Athletic,iii,2398,[],21,,,,Millsaps,401430986,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Harper Davis Field,6081,1
58,,Heartland,iii,2023,"[0, 0, 0, 0]",0,,,,Anderson (IN),True,False,,,Michigan,iii,2651,"[7, 17, 14, 0]",38,,,,Trine,401431214,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Fred Zollner Athletic Stadium,6130,1
59,,,,126110,"[0, 7, 7, 7]",21,,,,Keiser University,True,False,,,Gulf South,ii,2673,"[3, 3, 17, 13]",36,,,,Valdosta State,401431849,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Bazemore-Hyder Stadium,4851,1
60,,MEAC,fcs,2569,"[0, 3, 7, 0]",10,,,,South Carolina State,True,False,,,American Athletic,fbs,2116,"[21, 7, 14, 14]",56,,1569,1569,UCF,401415610,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Bright House Networks Stadium,3652,1
61,,Mid America,ii,2876,"[0, 3, 0, 0]",3,,,,Lincoln (MO),True,True,,,Mid America,ii,2687,"[17, 14, 7, 7]",45,,,,Washburn,401431936,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Yager Stadium at Moore Bowl,6034,1
62,,Pennsylvania State Athletic,ii,611,"[2, 0, 9, 0]",11,,,,Seton Hill College,True,False,,,Mountain East,ii,112335,"[2, 7, 7, 9]",25,,,,Wheeling Jesuit,401432152,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Bishop Schmitt Field,6212,1
63,,Rocky Mountain,ii,2146,"[0, 0, 6, 16]",22,,,,Colorado Mines,True,False,,,GLIAC,ii,125,"[0, 7, 10, 8]",25,,,,Grand Valley State,401431531,False,,2022,regular,2022-09-01T23:00:00.000Z,False,Lubbers Stadium,3811,1
64,,Mountain East,ii,2249,"[10, 24, 3, 7]",44,,,,Glenville State,True,False,,,Great Lakes,ii,2825,"[0, 3, 6, 6]",15,,,,Quincy,401431517,False,,2022,regular,2022-09-01T23:00:00.000Z,False,QU Stadium,3723,1
65,,Southern,fcs,2678,"[0, 3, 7, 0]",10,0.0029952575536539294,,,VMI,True,False,1.2759959221,,ACC,fbs,154,"[17, 6, 14, 7]",44,0.9970047424463461,1640,1640,Wake Forest,401411093,False,,2022,regular,2022-09-01T23:30:00.000Z,False,BB&T Field,3630,1
66,,South Atlantic,ii,2369,"[0, 0, 7, 0]",7,0.0011918943305843088,,,Mars Hill,True,False,2.8247297936,,Southern,fcs,2193,"[20, 14, 10, 0]",44,0.9988081056694157,,,East Tennessee State,401425510,False,,2022,regular,2022-09-01T23:30:00.000Z,False,William B. Greene Jr. Stadium,5400,1
