collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade,location,nickname,displayName,logo,img,link,playerId,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
4426349,105673,61,Georgia,SEC,Jacksonville,2022,1,1,1,Travon Walker,Defensive End,77.0,272.0,2.0,2.0,93.0,Jacksonville,Jaguars,Jacksonville Jaguars,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,jacksonville_jaguars,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/jacksonville_jaguars.png,4426349.0,2.0,6.0,6.0,19.0,0.0,7.5,37.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4243256,105546,254,Utah,Pac-12,Jacksonville,2022,27,1,27,Devin Lloyd,Inside Linebacker,75.0,237.0,20.0,2.0,91.0,Jacksonville,Jaguars,Jacksonville Jaguars,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,jacksonville_jaguars,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/jacksonville_jaguars.png,4243256.0,6.0,2.0,8.0,66.0,2.0,22.0,111.0,0.0,0.0,2.0,9.0,4.0,2.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4035048,106034,96,Kentucky,SEC,Jacksonville,2022,65,3,1,Luke Fortner,Center,76.0,307.0,127.0,4.0,67.0,Jacksonville,Jaguars,Jacksonville Jaguars,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,jacksonville_jaguars,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/jacksonville_jaguars.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4361707,105914,2751,Wyoming,Mountain West,Jacksonville,2022,70,3,6,Chad Muma,Inside Linebacker,75.0,239.0,68.0,6.0,79.0,Jacksonville,Jaguars,Jacksonville Jaguars,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,jacksonville_jaguars,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/jacksonville_jaguars.png,4361707.0,1.0,2.0,1.5,92.0,3.0,9.0,152.0,0.0,0.0,1.0,22.7,3.0,2.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4567246,106128,145,Ole Miss,SEC,Jacksonville,2022,154,5,11,Snoop Conner,Running Back,70.0,222.0,228.0,19.0,49.0,Jacksonville,Jaguars,Jacksonville Jaguars,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,jacksonville_jaguars,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/jacksonville_jaguars.png,4567246.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,0.0,82.0,5.9,130.0,51.0,13.0,647.0,5.0
4400960,105945,2888,Ouachita Baptist,Great American,Jacksonville,2022,197,6,19,Gregory Junior,Cornerback,,,366.0,45.0,30.0,Jacksonville,Jaguars,Jacksonville Jaguars,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,jacksonville_jaguars,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/jacksonville_jaguars.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4242149,106111,8,Arkansas,SEC,Jacksonville,2022,222,7,1,Montaric Brown,Cornerback,72.0,196.0,315.0,41.0,36.0,Jacksonville,Jaguars,Jacksonville Jaguars,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,jacksonville_jaguars,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/jacksonville_jaguars.png,4242149.0,6.0,0.0,0.0,24.0,0.0,1.0,54.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4372099,105537,130,Michigan,Big Ten,Detroit,2022,2,1,2,Aidan Hutchinson,Defensive End,79.0,260.0,1.0,1.0,94.0,Detroit,Lions,Detroit Lions,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/det.png,detroit_lions,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/detroit_lions.png,4372099.0,3.0,12.0,14.0,36.0,0.0,16.5,62.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426388,105553,333,Alabama,SEC,Detroit,2022,12,1,12,Jameson Williams,Wide Receiver,74.0,179.0,13.0,3.0,92.0,Detroit,Lions,Detroit Lions,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/det.png,detroit_lions,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/detroit_lions.png,4426388.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,,,,,35.2,100.0,10.0,2.0,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,79.0,15.0,1572.0,19.9,3.0,18.0,0.0,23.0,7.7
4259994,105703,96,Kentucky,SEC,Detroit,2022,46,2,14,Josh Paschal,Defensive End,75.0,268.0,52.0,8.0,85.0,Detroit,Lions,Detroit Lions,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/det.png,detroit_lions,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/detroit_lions.png,4259994.0,0.0,8.0,5.0,24.0,0.0,15.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
