game_id,school,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401403853,Hawai'i,Mountain West,home,10,28-55,0,20,0-4,2,0,,,0,0,89,7,4,250,5,,0,28:57,,,,0,26,1,108,0,44,0,5-16,4,8-72,358,2,4.5,4.2
401403853,Vanderbilt,SEC,away,63,16-28,0,28,1-5,0,4,,,0,0,16,1,9,197,3,,2,31:03,0,1,1,0,44,5,404,3,54,0,5-11,1,5-60,601,0,7.0,9.2
401403854,Alabama,SEC,home,55,27-40,0,30,0-0,0,0,,,1,0,18,1,13,281,3,,6,31:51,0,20,3,4,32,1,278,0,26,5,6-10,,6-40,559,1,7.0,8.7
401403854,Utah State,Mountain West,away,0,8-22,0,7,2-4,0,0,0,18,0,,,,,57,2,1,0,28:09,0,10,1,1,37,0,79,1,40,5,3-17,3,11-110,136,0,2.6,2.1
401403855,Arkansas,SEC,home,31,18-26,0,23,0-0,1,2,0,51,0,0,16,1,7,223,2,1,3,28:36,0,3,1,4,45,1,224,3,36,8,8-16,3,7-63,447,1,8.6,5.0
401403855,Cincinnati,American Athletic,away,24,26-43,0,24,1-1,1,2,,,1,0,29,1,6,325,2,,2,31:24,0,37,2,0,31,1,113,2,43,9,8-16,2,10-65,438,2,7.6,3.6
401403856,Auburn,SEC,home,42,13-21,0,22,1-2,0,0,,,2,0,23,3,6,212,5,,1,27:57,0,45,5,5,41,5,285,1,38,3,4-8,,3-20,497,2,10.1,7.0
401403856,Mercer,Southern,away,16,21-36,0,15,0-0,0,0,0,27,0,0,26,2,4,197,1,2,2,32:03,,,,0,31,0,74,0,36,2,8-18,,10-70,271,0,5.5,2.4
401403857,Florida,SEC,home,29,17-24,0,23,2-2,1,0,0,0,0,0,81,5,3,168,2,1,0,27:43,,,,5,39,4,283,0,36,2,7-12,2,7-38,451,1,7.0,7.3
401403857,Utah,Pac-12,away,26,22-32,0,25,0-1,0,2,,,1,0,35,2,8,216,0,,1,32:17,0,10,1,4,39,2,230,0,32,2,8-13,0,3-15,446,1,6.8,5.9
401403858,Georgia,SEC,home,49,30-37,0,26,0-0,0,0,0,22,0,0,36,1,7,439,3,2,3,31:10,,,,0,25,4,132,0,42,3,9-10,,7-75,571,0,11.9,5.3
401403858,Oregon,Pac-12,away,3,21-37,0,21,2-3,0,0,,,2,0,9,1,3,173,1,,0,28:50,,,,0,31,0,140,0,38,1,7-15,,5-35,313,2,4.7,4.5
